(13,5)	(11,4,10.42);(12,5,5.72);(14,7,9.03);
(13,6)	(11,6,9.8);(11,7,20.11);(12,6,5.03);(12,7,6.29);(12,8,12.48);(12,9,15.07);(13,7,4.82);(13,8,10);(14,9,10);(14,10,11.38);(14,11,13.14);(14,12,22.79);(14,13,31.04);
(13,7)	(11,6,11.53);(11,7,15.59);(12,6,7.71);(12,7,4.8);(12,8,8.79);(12,9,10.28);(13,6,4.82);(13,8,5.3);(14,9,11.77);(14,10,10.82);(14,11,9.64);(14,12,19.03);(14,13,27.31);
(13,8)	(11,6,15.95);(11,7,12);(12,6,12.77);(12,7,8.56);(12,8,8.21);(12,9,5.49);(13,6,10);(13,7,5.3);(14,8,18.3);(14,9,14.14);(14,10,11.07);(14,11,6.1);(14,12,14.41);(14,13,22.59);
(14,0)	(11,0,26.21);(12,0,15.42);(12,1,16.06);(12,2,18.98);(12,3,22.85);(13,0,7.87);(13,1,9.41);(13,2,13.83);(13,3,18.83);(14,1,5.94);(14,2,11.89);(14,3,17.89);(14,4,24.27);(14,5,32.44);(14,6,37.63);(14,7,43.5);(14,8,48.31);(14,9,53.24);(14,10,58.42);(14,11,65.66);(14,12,73.54);(14,13,80.01);
(14,1)	(11,0,22.63);(12,0,16.92);(12,1,15.27);(12,2,16.16);(12,3,18.78);(13,0,10.28);(13,1,7.72);(13,2,9.36);(13,3,13.6);(14,0,5.94);(14,2,5.95);(14,3,11.96);(14,4,18.33);(14,5,26.51);(14,6,31.69);(14,7,37.57);(14,8,42.37);(14,9,47.31);(14,10,52.49);(14,11,59.72);(14,12,67.63);(14,13,74.15);
(14,2)	(11,0,20.24);(12,0,20.16);(12,1,16.73);(12,2,15.27);(12,3,15.95);(13,0,14.86);(13,1,10.09);(13,2,7.41);(13,3,9.28);(14,0,11.89);(14,1,5.95);(14,3,6.01);(14,4,12.4);(14,5,20.59);(14,6,25.78);(14,7,31.65);(14,8,36.46);(14,9,41.4);(14,10,46.58);(14,11,53.8);(14,12,61.73);(14,13,68.31);
(14,3)	(11,0,19.6);(12,0,24.61);(12,1,20.12);(12,2,16.82);(12,3,15.25);(13,0,20.3);(13,1,14.8);(13,2,9.83);(13,3,7.81);(14,0,17.89);(14,1,11.96);(14,2,6.01);(14,4,6.41);(14,5,14.58);(14,6,19.77);(14,7,25.64);(14,8,30.45);(14,9,35.4);(14,10,40.57);(14,12,55.73);(14,13,62.37);
(14,4)	(13,0,26.1);(14,0,24.27);(14,1,18.33);(14,2,12.4);(14,3,6.41);(14,5,8.29);(14,6,13.44);(14,7,19.27);(14,8,24.09);(14,9,29.04);(14,10,34.25);(14,12,49.46);(14,13,56.24);
(14,5)	(11,2,19.96);(12,4,15.16);(13,4,9.65);(14,0,32.44);(14,1,26.51);(14,2,20.59);(14,3,14.58);(14,4,8.29);(14,6,5.2);(14,7,11.11);(14,8,15.9);(14,9,20.83);(14,10,26);(14,11,33.25);(14,12,41.18);(14,13,47.95);
(14,6)	(14,0,37.63);(14,1,31.69);(14,2,25.78);(14,3,19.77);(14,4,13.44);(14,5,5.2);(14,7,5.91);(14,8,10.7);(14,9,15.63);(14,10,20.82);(14,11,28.05);(14,12,36.04);(14,13,42.93);
(14,7)	(11,4,19.4);(12,5,14.71);(13,5,9.03);(14,0,43.5);(14,1,37.57);(14,2,31.65);(14,3,25.64);(14,4,19.27);(14,5,11.11);(14,6,5.91);(14,8,4.82);(14,9,9.77);(14,10,15.02);(14,11,22.16);(14,12,30.31);(14,13,37.42);
(14,8)	(11,7,30.13);(12,9,23.73);(13,8,18.3);(14,0,48.31);(14,1,42.37);(14,2,36.46);(14,3,30.45);(14,4,24.09);(14,5,15.9);(14,6,10.7);(14,7,4.82);(14,9,4.97);(14,10,10.26);(14,11,17.37);(14,12,25.56);(14,13,32.81);
(14,9)	(11,6,19.58);(11,7,26.13);(12,6,14.78);(12,7,15.7);(12,8,20.48);(12,9,19.41);(13,6,10);(13,7,11.77);(13,8,14.14);(14,0,53.24);(14,1,47.31);(14,2,41.4);(14,3,35.4);(14,4,29.04);(14,5,20.83);(14,6,15.63);(14,7,9.77);(14,8,4.97);(14,10,5.35);(14,11,12.5);(14,12,20.63);(14,13,28);
(14,10)	(11,6,21.08);(11,7,22.81);(12,6,16.38);(12,7,15.51);(12,8,18.68);(12,9,15.75);(13,6,11.38);(13,7,10.82);(13,8,11.07);(14,0,58.42);(14,1,52.49);(14,2,46.58);(14,3,40.57);(14,4,34.25);(14,5,26);(14,6,20.82);(14,7,15.02);(14,8,10.26);(14,9,5.35);(14,11,7.71);(14,12,15.32);(14,13,22.75);
(14,11)	(11,6,21.14);(11,7,16);(12,6,17.23);(12,7,14.02);(12,8,14.2);(12,9,8.86);(13,6,13.14);(13,7,9.64);(13,8,6.1);(14,0,65.66);(14,1,59.72);(14,2,53.8);(14,5,33.25);(14,6,28.05);(14,7,22.16);(14,8,17.37);(14,9,12.5);(14,10,7.71);(14,12,9.66);(14,13,17.91);
(14,12)	(11,6,30.3);(12,6,26.7);(12,7,22.95);(13,6,22.79);(13,7,19.03);(13,8,14.41);(14,0,73.54);(14,1,67.63);(14,2,61.73);(14,3,55.73);(14,4,49.46);(14,5,41.18);(14,6,36.04);(14,7,30.31);(14,8,25.56);(14,9,20.63);(14,10,15.32);(14,11,9.66);(14,13,8.28);
(14,13)	(11,6,38.52);(12,6,34.98);(12,7,31.14);(13,6,31.04);(13,7,27.31);(13,8,22.59);(14,0,80.01);(14,1,74.15);(14,2,68.31);(14,3,62.37);(14,4,56.24);(14,5,47.95);(14,6,42.93);(14,7,37.42);(14,8,32.81);(14,9,28);(14,10,22.75);(14,11,17.91);(14,12,8.28);
